ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
211.228.100.115,,KR,Seogwipo,,,false,0.87,2019-04-10T09:37:00Z,2014-12-29T14:44:56Z
75.99.143.133,ool-4b638f85.static.optonline.net.,US,Maplewood,Microsoft DNS 6.0.6001 (17714726),,false,0.48,2019-04-10T09:36:56Z,2014-12-29T14:45:12Z
72.15.141.84,,CA,,dnsmasq-2.68,,false,0.86,2019-04-10T09:36:58Z,2014-12-29T14:45:44Z
5.152.174.4,,ES,Medina de Rioseco,,,false,0.59,2019-04-10T09:37:00Z,2014-12-29T14:45:53Z
188.43.53.3,samiit.ru.,RU,Nerekhta,,,false,0.89,2019-04-10T09:36:56Z,2014-12-29T14:46:16Z
82.207.59.14,14-59-207-82.pool.ukrtel.net.,UA,Vinnytsia,dnsmasq-2.59,,false,0.89,2019-04-10T09:36:56Z,2014-12-29T14:46:19Z
217.175.132.165,pkbct.css-rzd.ru.,RU,Moscow,,,false,0.96,2019-04-10T09:36:56Z,2014-12-29T14:46:19Z
69.174.254.147,genesolutions.com.,US,,,,false,0.79,2019-04-10T09:36:57Z,2014-12-29T14:46:49Z
200.75.87.107,static-adsl200-75-87-107.epm.net.co.,CO,Medellín,,,false,0.79,2019-04-10T09:36:57Z,2014-12-29T14:47:26Z
60.248.155.208,60-248-155-208.HINET-IP.hinet.net.,TW,Taipei,Microsoft DNS 6.1.7601 (1DB15EC5),,false,0.88,2019-04-10T09:36:58Z,2014-12-29T14:47:34Z
101.255.16.166,,ID,Jakarta,,,false,0.28,2019-04-10T09:36:58Z,2014-12-29T14:47:43Z
208.89.96.20,server5.franticllc.com.,US,Brooklyn,Microsoft DNS 6.1.7601 (1DB15EC5),,false,0.95,2019-04-10T09:36:57Z,2014-12-29T14:47:43Z
64.183.54.102,talentair.com.,US,Cypress,Microsoft DNS 6.1.7601 (1DB15EC5),,false,0.81,2019-04-10T09:36:58Z,2014-12-29T14:47:59Z
98.114.102.244,parsifal.membrane.com.,US,Ridley Park,9.9.9-P5,,false,0.93,2019-04-10T09:36:57Z,2014-12-29T14:48:20Z
203.34.144.12,dns.vbl.com.vn.,VN,,Microsoft DNS 6.0.6002 (17724C46),,false,0.87,2019-04-10T09:37:00Z,2014-12-29T14:48:33Z
65.74.21.173,173-21-74-65.static.static.gci.net.,US,Anchorage,dnsmasq-2.55,,true,0.89,2019-04-10T09:36:58Z,2014-12-29T14:48:46Z
109.228.7.41,server109-228-7-41.live-servers.net.,GB,,Microsoft DNS 6.1.7601 (1DB15EC5),,false,0.88,2019-04-10T09:36:57Z,2014-12-29T14:48:52Z
178.251.212.45,,IR,,9.9.5-9+deb8u4-Debian,,false,0.87,2019-04-10T09:36:57Z,2014-12-29T14:48:54Z
41.58.157.46,,NG,Lagos,dnsmasq-2.40,,true,0.72,2019-04-10T09:36:58Z,2014-12-29T14:49:25Z
211.108.62.85,,KR,,,,false,0.89,2019-04-10T09:37:03Z,2014-12-29T14:49:46Z
211.202.2.234,ns1.hananame.com.,KR,Goyang-si,,,false,0.53,2019-04-10T09:37:01Z,2014-12-29T14:49:47Z
200.56.120.124,rdm.nacionaldeacero.com.,MX,Mexico City,,,false,0.90,2019-04-10T09:36:58Z,2014-12-29T14:49:58Z
220.89.152.10,,KR,,,,false,0.89,2019-04-10T09:37:02Z,2014-12-29T14:50:05Z
95.253.62.58,host58-62-static.253-95-b.business.telecomitalia.it.,IT,Castel d'Aiano,dnsmasq-2.47,,false,0.87,2019-04-10T09:36:58Z,2014-12-29T14:50:22Z
91.192.131.131,opz-tp.yuzhny.com.,UA,Odesa,,,false,0.92,2019-04-10T09:36:58Z,2014-12-29T14:50:28Z
195.57.126.2,abyla.ceuta.es.,ES,Benquerencia de la Serena,,,false,0.95,2019-04-10T09:36:58Z,2014-12-29T14:50:46Z
81.201.0.33,host033-pool081201000.albedo.it.,IT,,,,false,0.91,2019-04-10T09:36:59Z,2014-12-29T14:50:52Z
198.150.53.52,dialup.viterbo.edu.,US,La Crosse,,,false,0.92,2019-04-10T09:36:58Z,2014-12-29T14:51:16Z
81.95.125.20,,BE,Bruges,Microsoft DNS 6.1.7601 (1DB15EC5),,false,0.88,2019-04-10T09:36:58Z,2014-12-29T14:51:53Z
60.248.224.179,60-248-224-179.HINET-IP.hinet.net.,TW,Taichung,dnsmasq-2.45,,false,0.65,2019-04-10T09:37:00Z,2014-12-29T14:51:54Z
216.230.132.53,53.132.static.intelnet.net.gt.,GT,Guatemala City,dnsmasq-2.52,,true,0.53,2019-04-10T09:36:59Z,2014-12-29T14:52:16Z
69.18.99.19,,US,,Microsoft DNS 6.1.7601 (1DB14556),,false,0.90,2019-04-10T09:36:59Z,2014-12-29T14:52:37Z
61.120.0.67,,JP,,8.2.3-T5B,,false,0.61,2019-04-10T09:37:00Z,2014-12-29T14:52:40Z
101.187.135.245,blo1601654.lnk.telstra.net.,AU,Wynnum,,,false,0.82,2019-04-10T09:37:04Z,2014-12-29T14:52:53Z
59.12.136.3,,KR,,,,false,0.88,2019-04-10T09:37:07Z,2014-12-29T14:53:06Z
118.139.167.12,ip-118-139-167-12.ip.secureserver.net.,SG,Singapore,,,false,0.74,2019-04-10T09:37:02Z,2014-12-29T14:53:10Z
213.227.193.161,,UA,Kyiv,dnsmasq-2.45,,false,0.65,2019-04-10T09:36:59Z,2014-12-29T14:53:21Z
118.22.1.244,pc4.soup-stock-tokyo1-unet.ocn.ne.jp.,JP,Kokubunji,,,false,0.92,2019-04-10T09:37:00Z,2014-12-29T14:53:25Z
59.125.53.128,msa.btko.net.,TW,,,,false,0.95,2019-04-10T09:37:03Z,2014-12-29T14:53:41Z
202.56.128.30,pridns.d1.com.sg.,SG,,,,false,0.90,2019-04-10T09:37:00Z,2014-12-29T14:54:17Z
211.202.2.236,hananame.com.,KR,Goyang-si,,,false,0.86,2019-04-10T09:37:03Z,2014-12-29T14:54:19Z
59.24.135.249,,KR,,,,false,0.90,2019-04-10T09:37:04Z,2014-12-29T14:54:22Z
211.44.250.182,hg-power.co.kr.,KR,Yangcheon-gu,,,false,0.87,2019-04-10T09:37:04Z,2014-12-29T14:54:22Z
211.202.2.235,,KR,Goyang-si,,,false,0.86,2019-04-10T09:37:04Z,2014-12-29T14:55:08Z
14.63.225.98,god21.net.,KR,,,,false,0.90,2019-04-10T09:37:09Z,2014-12-29T14:55:10Z
206.126.209.78,ns3.bertramwireless.com.,US,Denmark,,,false,0.95,2019-04-10T09:37:00Z,2014-12-29T14:55:10Z
59.124.141.174,59-124-141-174.HINET-IP.hinet.net.,TW,Taoyuan District,,,false,0.68,2019-04-10T09:37:01Z,2014-12-29T14:55:31Z
31.169.77.167,ns1.bilisimdanismanlik.net.,TR,Istanbul,Microsoft DNS 6.0.6002 (17724D35),,false,0.87,2019-04-10T09:37:00Z,2014-12-29T14:56:00Z
59.120.80.72,twexcs01.turvo.com.tw.,TW,Taichung,,,false,0.26,2019-04-10T09:37:02Z,2014-12-29T14:56:24Z
212.26.136.138,,UA,Kyiv,,,false,0.90,2019-04-10T09:37:00Z,2014-12-29T14:56:39Z
176.36.87.16,host-176-36-87-16.la.net.ua.,UA,Kyiv,dnsmasq-2.71,,false,0.87,2019-04-10T09:37:01Z,2014-12-29T14:56:59Z
206.125.47.220,ns2.senatron.com.,US,Merion,,,false,0.82,2019-04-10T09:37:01Z,2014-12-29T14:57:20Z
61.63.14.15,61-63-14-host15.kbtelecom.net.tw.,TW,,Microsoft DNS 6.1.7601 (1DB15EC5),,false,0.88,2019-04-10T09:37:02Z,2014-12-29T14:57:21Z
79.190.224.27,isr27.internetdsl.tpnet.pl.,PL,Wawer,,,false,0.90,2019-04-10T09:37:01Z,2014-12-29T14:57:21Z
211.232.61.38,mail.sees.co.kr.,KR,,,,false,0.87,2019-04-10T09:37:05Z,2014-12-29T14:57:38Z
67.222.123.14,ns3.transwaveisp.com.,US,North Collins,Microsoft DNS 6.1.7601 (1DB15EC5),,false,0.87,2019-04-10T09:37:01Z,2014-12-29T14:57:41Z
186.0.193.227,,AR,Villa Atuel,,,false,0.91,2019-04-10T09:37:02Z,2014-12-29T14:58:05Z
213.171.207.107,server213-171-207-107.live-servers.net.,GB,,Microsoft DNS 6.1.7601 (1DB15EC5),,false,0.90,2019-04-10T09:37:01Z,2014-12-29T14:58:05Z
203.190.254.3,ns1.icddrb.org.,BD,,9.3.6-P1-RedHat-9.3.6-4.P1.el5,,false,0.90,2019-04-10T09:37:03Z,2014-12-29T14:58:20Z
98.114.102.243,static-98-114-102-243.phlapa.fios.verizon.net.,US,Ridley Park,9.9.9-P5,,false,0.94,2019-04-10T09:37:02Z,2014-12-29T14:58:34Z
59.126.182.232,59-126-182-232.HINET-IP.hinet.net.,TW,Chang-hua,dnsmasq-2.48,,false,0.88,2019-04-10T09:37:04Z,2014-12-29T14:58:46Z
217.12.56.241,,SK,Banská Bystrica,,,false,0.92,2019-04-10T09:37:01Z,2014-12-29T14:59:04Z
186.237.202.26,smtp3.araraquara.com.,BR,,,,false,0.91,2019-04-10T09:37:04Z,2014-12-29T14:59:12Z
80.250.22.199,mail.codoma.cz.,CZ,Prague,Microsoft DNS 6.0.6002 (17725FAC),,false,0.89,2019-04-10T09:37:01Z,2014-12-29T14:59:18Z
200.69.10.181,mail.dodetodo.com.ar.,AR,,,,false,0.90,2019-04-10T09:37:03Z,2014-12-29T14:59:24Z
60.251.62.31,www.hotzsoft.com.,TW,Taipei,9.10.3-P4-Ubuntu,,true,0.88,2019-04-10T09:37:04Z,2014-12-29T14:59:54Z
211.230.4.4,,KR,,,,false,0.85,2019-04-10T09:37:06Z,2014-12-29T15:00:15Z
64.201.162.4,static-64-201-162-4.ptr.terago.net.,CA,Woodbridge,,,false,0.88,2019-04-10T09:37:06Z,2014-12-29T15:00:46Z
188.136.141.4,ns2.khuisf.ac.ir.,IR,,,,false,0.89,2019-04-10T09:37:04Z,2014-12-29T15:00:47Z
207.253.66.56,ns2.clinique1900.com.,CA,Drummondville,,,false,0.89,2019-04-10T09:37:02Z,2014-12-29T15:00:53Z
207.250.47.163,mx1.backhauldirect.com.,US,Kokomo,Microsoft DNS 6.1.7601 (1DB15CD4),,false,0.93,2019-04-10T09:37:03Z,2014-12-29T15:00:57Z
196.15.170.131,ns1.gns.co.za.,ZA,Boksburg,,,false,0.89,2019-04-10T09:37:03Z,2014-12-29T15:00:58Z
211.215.23.36,,KR,,,,false,0.92,2019-04-10T09:37:07Z,2014-12-29T15:01:02Z
94.95.225.82,host82-225-static.95-94-b.business.telecomitalia.it.,IT,,,,false,0.89,2019-04-10T09:37:04Z,2014-12-29T15:01:07Z
208.108.80.23,leeca11.leeca.org.,US,,Not Disclosed,,false,0.88,2019-04-10T09:37:03Z,2014-12-29T15:01:12Z
210.176.64.218,,HK,Yuen Long,DNSServer,,false,0.94,2019-04-10T09:37:04Z,2014-12-29T15:01:20Z
204.122.16.7,ns4.eskimo.com.,US,,9.10.1-P2,,true,0.90,2019-04-10T09:37:03Z,2014-12-29T15:01:27Z
50.244.102.73,50-244-102-73-static.hfc.comcastbusiness.net.,US,Spring,,,false,0.76,2019-04-10T09:37:04Z,2014-12-29T15:01:42Z
1.176.214.45,,KR,,,,false,0.89,2019-04-10T09:37:07Z,2014-12-29T15:02:31Z
195.238.109.81,,UA,Khmelnytskyi,,,false,0.88,2019-04-10T09:37:03Z,2014-12-29T15:02:55Z
203.70.40.132,h132-203-70-40.static.seed.net.tw.,TW,,,,false,0.90,2019-04-10T09:37:05Z,2014-12-29T15:03:29Z
98.189.246.67,wsip-98-189-246-67.oc.oc.cox.net.,US,Torrance,,,false,0.79,2019-04-10T09:37:06Z,2014-12-29T15:03:51Z
208.83.176.100,,US,San Antonio,Microsoft DNS 6.1.7601 (1DB15EC5),,false,0.88,2019-04-10T09:37:04Z,2014-12-29T15:04:20Z
93.115.175.121,,RO,,,,false,0.90,2019-04-10T09:37:04Z,2014-12-29T15:05:02Z
114.69.127.65,dynamic-114-69-127-65.vips.gol.ne.jp.,JP,Tokyo,,,false,0.80,2019-04-10T09:37:06Z,2014-12-29T15:05:05Z
121.241.21.135,ns2.datamatics.com.,IN,Thane,,,false,0.86,2019-04-10T09:37:13Z,2014-12-29T15:05:17Z
195.146.66.33,,RU,Moscow,,,false,0.91,2019-04-10T09:37:04Z,2014-12-29T15:05:34Z
195.57.126.9,calypso.ceuta.es.,ES,Benquerencia de la Serena,,,false,0.95,2019-04-10T09:37:04Z,2014-12-29T15:05:37Z
80.199.45.70,80-199-45-70-static.dk.customer.tdc.net.,DK,Hellerup,,,false,0.72,2019-04-10T09:37:04Z,2014-12-29T15:05:51Z
80.15.90.17,lmontsouris-656-1-49-17.w80-15.abo.wanadoo.fr.,FR,,dnsmasq-2.57,,false,0.88,2019-04-10T09:37:04Z,2014-12-29T15:05:53Z
80.245.89.50,80.245.89.50.danisnet.md.,MD,Chisinau,,,false,0.58,2019-04-10T09:37:04Z,2014-12-29T15:05:55Z
92.198.51.229,port-92-198-51-229.static.qsc.de.,DE,Cologne,Microsoft DNS 6.1.7601 (1DB14A66),,false,0.94,2019-04-10T09:37:04Z,2014-12-29T15:06:00Z
60.248.15.20,60-248-15-20.HINET-IP.hinet.net.,TW,Jiaosi,Microsoft DNS 6.1.7601 (1DB15EC5),,false,0.81,2019-04-10T09:37:06Z,2014-12-29T15:06:17Z
124.244.68.178,124244068178.ctinets.com.,HK,Tuen Mun,dnsmasq-2.40,,true,0.85,2019-04-10T09:37:06Z,2014-12-29T15:07:37Z
67.53.210.130,mail.tihati.com.,US,Honolulu,,,false,0.82,2019-04-10T09:37:06Z,2014-12-29T15:08:13Z
188.94.136.146,,HU,Székesfehérvár,,,false,0.89,2019-04-10T09:37:04Z,2014-12-29T15:08:42Z
200.42.174.250,e-casablanca.cl.,CL,,,,false,0.93,2019-04-10T09:37:05Z,2014-12-29T15:09:11Z
202.175.1.198,z1l198.static.ctm.net.,MO,Macao,,,false,0.95,2019-04-10T09:37:06Z,2014-12-29T15:09:36Z
81.17.143.6,,UA,Kharkiv,PowerDNS Recursor 3.6.3 (jenkins@autotest.powerdns.com built 20150423115212 mockbuild@),,false,0.88,2019-04-10T09:37:05Z,2014-12-29T15:10:22Z
210.68.97.1,nic.com.tw.,TW,,,,false,0.89,2019-04-10T09:37:07Z,2014-12-29T15:10:35Z
211.230.4.35,,KR,,,,false,0.88,2019-04-10T09:37:09Z,2014-12-29T15:10:36Z
213.5.130.62,62.130.5.213.convex-tagil.ru.,RU,Nizhny Tagil,,,false,0.91,2019-04-10T09:37:05Z,2014-12-29T15:10:55Z
211.55.29.223,,KR,Seoul,,,false,0.88,2019-04-10T09:37:09Z,2014-12-29T15:11:54Z
125.134.214.251,,KR,,,,false,0.83,2019-04-10T09:37:10Z,2014-12-29T15:11:55Z
61.219.81.151,mail.shijou.com.tw.,TW,Taipei,Microsoft DNS 6.1.7600 (1DB04228),,false,0.95,2019-04-10T09:37:10Z,2014-12-29T15:12:04Z
206.126.209.70,ns1.bertramwireless.com.,US,Denmark,,,false,0.93,2019-04-10T09:37:06Z,2014-12-29T15:12:19Z
212.19.106.134,dns.info-ser.it.,IT,Palaia,9.3.2-P1,,false,0.89,2019-04-10T09:37:06Z,2014-12-29T15:12:23Z
203.127.219.194,valueclub.challenger.com.sg.,SG,,Microsoft DNS 6.1.7601 (1DB15EC5),,false,0.89,2019-04-10T09:37:07Z,2014-12-29T15:12:44Z
109.228.25.170,server109-228-25-170.live-servers.net.,GB,,Microsoft DNS 6.1.7601 (1DB15EC5),,false,0.87,2019-04-10T09:37:06Z,2014-12-29T15:12:44Z
95.215.225.254,95-215-225-x.no-reverse-dns.ukdns.biz.,GB,,dnsmasq-2.79,,false,0.88,2019-04-10T09:37:06Z,2014-12-29T15:12:50Z
81.180.124.165,mail.canadtv.ro.,RO,Voluntari,9.3.6-P1-RedHat-9.3.6-25.P1.el5_11.12,,false,0.57,2019-04-10T09:37:06Z,2014-12-29T15:13:41Z
59.126.45.142,59-126-45-142.HINET-IP.hinet.net.,TW,,Microsoft DNS 6.1.7601 (1DB15B4F),,false,0.90,2019-04-10T09:37:08Z,2014-12-29T15:14:05Z
87.98.175.85,,FR,,[hidden],,false,0.88,2019-04-10T09:37:06Z,2014-12-29T15:14:15Z
116.12.178.180,drivescontrol.com.,SG,Singapore,,,false,0.79,2019-04-10T09:37:08Z,2014-12-29T15:14:16Z
210.61.2.237,210-61-2-237.HINET-IP.hinet.net.,TW,,Microsoft DNS 6.1.7601 (1DB14556),,false,0.84,2019-04-10T09:37:11Z,2014-12-29T15:14:21Z
203.162.39.66,mail.siemens.com.vn.,VN,,Microsoft DNS 6.0.6002 (17725FAC),,false,0.90,2019-04-10T09:37:10Z,2014-12-29T15:14:27Z
195.178.30.22,,UA,Chystyakove,9.7.3,,false,0.90,2019-04-10T09:37:07Z,2014-12-29T15:14:46Z
94.101.220.37,ns.sni.dk.,DK,Copenhagen,,,false,0.94,2019-04-10T09:37:06Z,2014-12-29T15:14:51Z
212.132.132.17,fame.wiganmbc.gov.uk.,GB,,Microsoft DNS 6.0.6002 (17725FAC),,false,0.90,2019-04-10T09:37:06Z,2014-12-29T15:14:59Z
147.91.172.102,,RS,,,,false,0.90,2019-04-10T09:37:07Z,2014-12-29T15:15:19Z
186.190.169.234,host234.186-190-169.nodosud.com.ar.,AR,Costa Sacate,,,false,0.88,2019-04-10T09:37:08Z,2014-12-29T15:15:26Z
199.189.205.20,crane.heliacal.net.,US,,9.11.5-P4-1-Debian,,false,0.78,2019-04-10T09:37:07Z,2014-12-29T15:15:32Z
173.14.40.85,173-14-40-85-Michigan.hfc.comcastbusiness.net.,US,Pleasant Lake,dnsmasq-2.45,,true,0.85,2019-04-10T09:37:07Z,2014-12-29T15:16:30Z
176.103.68.61,,UA,,,,false,0.89,2019-04-10T09:37:07Z,2014-12-29T15:17:13Z
222.105.43.79,,KR,Gangnam-gu,,,false,0.87,2019-04-10T09:37:12Z,2014-12-29T15:17:25Z
63.240.143.196,,US,,Microsoft DNS 6.1.7601 (1DB14556),,false,0.75,2019-04-10T09:37:08Z,2014-12-29T15:17:26Z
213.108.72.76,,UA,Kyiv,,,false,0.85,2019-04-10T09:37:07Z,2014-12-29T15:18:48Z
5.196.21.217,217.ip-5-196-21.eu.,FR,,,,false,0.88,2019-04-10T09:37:07Z,2014-12-29T15:19:05Z
80.89.6.227,,RU,Vladivostok,BIND,,false,0.84,2019-04-10T09:37:09Z,2014-12-29T15:19:49Z
157.157.138.227,gss-postur.stykk.is.,IS,Stykkishólmur,,,false,0.89,2019-04-10T09:37:08Z,2014-12-29T15:20:49Z
123.203.53.109,123203053109.ctinets.com.,HK,Central,dnsmasq-2.40,,true,0.85,2019-04-10T09:37:08Z,2014-12-29T15:20:58Z
211.23.63.59,mxserver2.gianta.com.tw.,TW,,dnsmasq-2.40,,false,0.85,2019-04-10T09:37:09Z,2014-12-29T15:22:25Z
212.154.131.115,mail.kgnt.kz.,KZ,,Microsoft DNS 6.1.7601 (1DB14556),,false,0.95,2019-04-10T09:37:11Z,2014-12-29T15:23:06Z
69.84.129.105,bems8.sassieshop.com.,US,Boston,dnsmasq-2.48,,false,0.80,2019-04-10T09:37:08Z,2014-12-29T15:23:11Z
206.126.209.74,ns2.bertramwireless.com.,US,Denmark,,,false,0.96,2019-04-10T09:37:08Z,2014-12-29T15:23:28Z
81.0.104.114,nss7.levezetes.hu.,HU,Szentes,Microsoft DNS 6.1.7601 (1DB15EC5),,false,0.88,2019-04-10T09:37:08Z,2014-12-29T15:24:18Z
115.68.110.146,,KR,,,,false,0.90,2019-04-10T09:37:10Z,2014-12-29T15:24:46Z
24.142.152.226,mail.pol-inc.com.,US,Van Wert,9.7.3-P1-RedHat-9.7.3-2.P1.fc13,,false,0.88,2019-04-10T09:37:09Z,2014-12-29T15:25:05Z
130.0.25.115,,AL,,,,false,0.87,2019-04-10T09:37:09Z,2014-12-29T15:25:13Z
61.73.81.74,,KR,Seoul,,,false,0.88,2019-04-10T09:37:13Z,2014-12-29T15:25:16Z
50.203.113.252,50-203-113-252-static.hfc.comcastbusiness.net.,US,Castle Rock,dnsmasq-2.79,,false,0.89,2019-04-10T09:37:09Z,2014-12-29T15:25:26Z
191.240.24.28,191-240-24-28.cuv-wr.mastercabo.com.br.,BR,Campos do Jordao,,,false,0.84,2019-04-10T09:37:10Z,2014-12-29T15:25:29Z
195.209.236.1,ns.micee.ru.,RU,St Petersburg,Microsoft DNS 6.0.6002 (17724D35),,false,0.92,2019-04-10T09:37:09Z,2014-12-29T15:25:35Z
212.120.33.3,,CH,Basel,Microsoft DNS 6.1.7601 (1DB15EC5),,false,0.77,2019-04-10T09:37:16Z,2014-12-29T15:25:44Z
